Employee #,Date,Time In,Time Out
1,01/09/2022,8:00,17:00
1,02/09/2022,8:00,17:00
1,05/09/2022,8:00,17:00
1,06/09/2022,8:00,17:00
1,07/09/2022,8:00,17:00
1,08/09/2022,8:00,17:00
1,09/09/2022,8:00,17:00
1,12/09/2022,8:00,17:00
1,09/13/2022,8:00,17:00
1,09/14/2022,8:00,17:00
1,09/15/2022,8:00,17:00
1,09/16/2022,8:00,17:00
1,09/19/2022,8:00,17:00
1,09/20/2022,8:00,17:00
1,09/21/2022,8:00,17:00
1,09/22/2022,8:00,17:00
1,09/23/2022,8:00,17:00
1,09/26/2022,8:00,17:00
1,09/27/2022,8:00,17:00
1,09/28/2022,8:00,17:00
1,09/29/2022,8:00,17:00
1,09/30/2022,8:00,17:00
1,03/10/2022,8:00,17:00
1,04/10/2022,8:00,17:00
1,05/10/2022,8:00,17:00
1,06/10/2022,8:00,17:00
1,07/10/2022,8:00,17:00
1,10/10/2022,8:00,17:00
1,11/10/2022,8:00,17:00
1,12/10/2022,8:00,17:00
1,10/13/2022,8:00,17:00
1,10/14/2022,8:00,17:00
1,10/17/2022,8:00,17:00
1,10/18/2022,8:00,17:00
1,10/19/2022,8:00,17:00
1,10/20/2022,8:00,17:00
1,10/21/2022,8:00,17:00
1,10/24/2022,8:00,17:00
1,10/25/2022,8:00,17:00
1,10/26/2022,8:00,17:00
1,10/27/2022,8:00,17:00
1,10/28/2022,8:00,17:00
1,10/31/2022,8:00,17:00
1,01/11/2022,0:00,0:00
1,02/11/2022,8:00,17:00
1,03/11/2022,8:00,17:00
1,04/11/2022,8:00,17:00
1,07/11/2022,8:00,17:00
1,08/11/2022,8:00,17:00
1,09/11/2022,8:00,17:00
1,10/11/2022,8:00,17:00
1,11/11/2022,8:00,17:00
1,11/14/2022,8:00,17:00
1,11/15/2022,8:00,17:00
1,11/16/2022,8:00,17:00
1,11/17/2022,8:00,17:00
1,11/18/2022,8:00,17:00
1,11/21/2022,8:00,17:00
1,11/22/2022,8:00,17:00
1,11/23/2022,8:00,17:00
1,11/24/2022,8:00,17:00
1,11/25/2022,8:00,17:00
1,11/28/2022,8:00,17:00
1,11/29/2022,8:00,17:00
1,11/30/2022,0:00,0:00
1,01/12/2022,8:00,17:00
1,02/12/2022,8:00,17:00
1,05/12/2022,8:00,17:00
